#            Cell,              Row,           Column,     Xcenter (cm),     Ycenter (cm)
             190,               10,               16,           17.112,         -102.148
             191,               10,               17,           21.405,         -102.148
             192,               10,               18,           25.860,         -102.148
             193,               10,               19,           30.152,         -102.148
             194,               10,               20,           34.445,         -102.148
             195,               11,                0,          -52.382,          -97.855
             196,               11,                1,          -48.090,          -97.855
             197,               11,                2,          -43.797,          -97.855
             198,               11,                3,          -39.342,          -97.855
             199,               11,                4,          -35.049,          -97.855
             200,               11,                5,          -30.757,          -97.855
             201,               11,                6,          -26.302,          -97.855
             202,               11,                7,          -22.009,          -97.855
             203,               11,                8,          -17.717,          -97.855
             204,               11,                9,          -13.261,          -97.855
             205,               11,               10,           -8.969,          -97.855
             206,               11,               11,           -4.676,          -97.855
             207,               11,               12,           -0.221,          -97.855
             208,               11,               13,            4.072,          -97.855
             209,               11,               14,            8.364,          -97.855
             210,               11,               15,           12.819,          -97.855
             211,               11,               16,           17.112,          -97.855
             212,               11,               17,           21.405,          -97.855
             213,               11,               18,           25.860,          -97.855
             214,               11,               19,           30.152,          -97.855
             215,               11,               20,           34.445,          -97.855
             216,               12,                0,          -56.502,          -93.563
             217,               12,                1,          -52.210,          -93.563
             218,               12,                2,          -47.917,          -93.563
             219,               12,                3,          -43.462,          -93.563
             220,               12,                4,          -39.169,          -93.563
             221,               12,                5,          -34.877,          -93.563
             222,               12,                6,          -30.422,          -93.563
             223,               12,                7,          -26.129,          -93.563
             224,               12,                8,          -21.836,          -93.563
             225,               12,                9,          -17.381,          -93.563
             226,               12,               10,          -13.089,          -93.563
             227,               12,               11,           -8.796,          -93.563
             228,               12,               12,           -4.341,          -93.563
             229,               12,               13,           -0.048,          -93.563
             230,               12,               14,            4.244,          -93.563
             231,               12,               15,            8.699,          -93.563
             232,               12,               16,           12.992,          -93.563
             233,               12,               17,           17.285,          -93.563
             234,               12,               18,           21.740,          -93.563
             235,               12,               19,           26.032,          -93.563
             236,               12,               20,           30.325,          -93.563
             237,               12,               21,           34.780,          -93.563
             238,               12,               22,           39.073,          -93.563
             239,               12,               23,           43.365,          -93.563
             240,               13,                0,          -56.502,          -89.270
             241,               13,                1,          -52.210,          -89.270
             242,               13,                2,          -47.917,          -89.270
             243,               13,                3,          -43.462,          -89.270
             244,               13,                4,          -39.169,          -89.270
             245,               13,                5,          -34.877,          -89.270
             246,               13,                6,          -30.422,          -89.270
             247,               13,                7,          -26.129,          -89.270
             248,               13,                8,          -21.836,          -89.270
             249,               13,                9,          -17.381,          -89.270
             250,               13,               10,          -13.089,          -89.270
             251,               13,               11,           -8.796,          -89.270
             252,               13,               12,           -4.341,          -89.270
             253,               13,               13,           -0.048,          -89.270
             254,               13,               14,            4.244,          -89.270
             255,               13,               15,            8.699,          -89.270
             256,               13,               16,           12.992,          -89.270
             257,               13,               17,           17.285,          -89.270
             258,               13,               18,           21.740,          -89.270
             259,               13,               19,           26.032,          -89.270
             260,               13,               20,           30.325,          -89.270
             261,               13,               21,           34.780,          -89.270
             262,               13,               22,           39.073,          -89.270
             263,               13,               23,           43.365,          -89.270
             264,               14,                0,          -56.502,          -84.977
             265,               14,                1,          -52.210,          -84.977
             266,               14,                2,          -47.917,          -84.977
             267,               14,                3,          -43.462,          -84.977
             268,               14,                4,          -39.169,          -84.977
             269,               14,                5,          -34.877,          -84.977
             270,               14,                6,          -30.422,          -84.977
             271,               14,                7,          -26.129,          -84.977
             272,               14,                8,          -21.836,          -84.977
             273,               14,                9,          -17.381,          -84.977
             274,               14,               10,          -13.089,          -84.977
             275,               14,               11,           -8.796,          -84.977
             276,               14,               12,           -4.341,          -84.977
             277,               14,               13,           -0.048,          -84.977
             278,               14,               14,            4.244,          -84.977
             279,               14,               15,            8.699,          -84.977
             280,               14,               16,           12.992,          -84.977
             281,               14,               17,           17.285,          -84.977
             282,               14,               18,           21.740,          -84.977
             283,               14,               19,           26.032,          -84.977
